DRACULA COLOR PALETTE

Background     #282A36   Main background
Current Line   #6272A4   Comments, disabled code
Selection      #44475A   Text selection
Foreground     #F8F8F2   Default text
Comment        #6272A4   Comments, disabled code
Red            #FF5555   Errors, warnings, deletion
Orange         #FFB86C   Numbers, constants, booleans
Yellow         #F1FA8C   Strings, text content
Green          #50FA7B   Functions, methods, inherited classes
Cyan           #8BE9FD   Classes, types, support, regex
Purple         #BD93F9   Instance reserved words, constants
Pink           #FF79C6   Keywords, storage types
